Team,Opponent Team,Date,Site,Incident,Time,VAR used
Brighton & Hove Albion,West Ham,Aug. 17,H,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,AGAINST
Brighton & Hove Albion,Aston Villa,Oct. 19,A,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,FOR
Brighton & Hove Albion,Everton,Oct. 26,H,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,78th minute,FOR
Brighton & Hove Albion,Leicester,Nov. 23,H,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,80th minute,FOR
Brighton & Hove Albion,Arsenal ,Dec. 5,A,David Luiz goal disallowed for offside,63rd minute,FOR
Brighton & Hove Albion,Sheffield United ,Dec. 21,H,John Egan goal ruled out for handball,8th minute,FOR
Brighton & Hove Albion,Sheffield United ,Dec. 21,H,Jack O'Connell goal disallowed for offside,54th minute,FOR
Brighton & Hove Albion,Tottenham,Dec. 26,A,Harry Kane goal ruled out for offside,24th minute,FOR
Brighton & Hove Albion,Bournemouth,Dec. 28,H,Dan Burn goal ruled out for offside,58th minute,AGAINST
Brighton & Hove Albion,Everton,Jan. 11,A,Goal for Dominic Calvert-Lewin ruled out for handball,75th minute,FOR
Brighton & Hove Albion,West Ham,Feb. 1,A,Goal for Glenn Murray allowed after incorrect handball,79th minute,FOR
Brighton & Hove Albion,Burnley,July 26,A,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,57th minute,FOR
Manchester United,Arsenal,Sept. 30,H,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",58th minute,AGAINST
Manchester United,Liverpool,Oct. 20,H,Sadio Mane goal ruled out for handball,43rd minute,FOR
Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,25th minute,FOR
Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,41st minute,FOR
Manchester United,Man City,Dec. 7,A,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,23rd minute,FOR
Manchester United,Liverpool,Jan. 19,A,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,25th minute,FOR
Manchester United,Chelsea,Feb. 17,A,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,FOR
Manchester United,Chelsea,Feb. 17,A,Olivier Giroud goal disallowed for offside,77th minute,FOR
Manchester United,Watford,Feb. 23,H,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,FOR
Manchester United,Everton,March 1,A,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,92nd minute,FOR
Manchester United,Tottenham,June 19,A,Penalty awarded for a foul on Bruno Fernandes overturned,91st minute,AGAINST
Manchester United,Crystal Palace,July,A,Jordan Ayew goal disallowed for offside,55th minute,FOR
Manchester United,West Ham,July 22,H,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),45th minute,AGAINST
Crystal Palace,West Ham,Oct. 5,A,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,FOR
Crystal Palace,Arsenal,Oct. 27,A,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),32nd minute,FOR
Crystal Palace,Arsenal,Oct. 27,A,Sokratis goal disallowed for foul by Calum Chambers,83rd minute,FOR
Crystal Palace,Liverpool,Nov. 23,H,James Tomkins goal ruled out for push by Jordan Ayew,43rd minute,AGAINST
Crystal Palace,Southampton,Dec. 28,A,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,15th minute,AGAINST
Crystal Palace,Norwich,Jan. 1,A,Connor Wickham goal awarded after originally being ruled out for offside,85th minute,FOR
Crystal Palace,Arsenal,Jan. 11,H,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,65th minute,FOR
